,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
74,0501FF4607ABE241,unset,244789097,SocialGraphService,1559666962756162770,2019-06-04 11:49:22.756163,SocialGraphHandler.h,['91CBB6DB50EB0559'],91CBB6DB50EB0559,
75,10EACA54C0F1A606,,-561385838,SocialGraphService,1559666962756596491,2019-06-04 11:49:22.756597,ClientPool.h,['71E61F092E54EC0E'],71E61F092E54EC0E,
76,BEFC85470B65DA6E,,-561385838,SocialGraphService,1559666962756886806,2019-06-04 11:49:22.756887,ClientPool.h,['10EACA54C0F1A606'],10EACA54C0F1A606,
77,A7D3396CC75EC6D6,,-561385838,SocialGraphService,1559666962757103648,2019-06-04 11:49:22.757104,ClientPool.h,['BEFC85470B65DA6E'],BEFC85470B65DA6E,
78,7076C55CDECBF840,,-561385838,SocialGraphService,1559666962757303273,2019-06-04 11:49:22.757303,ClientPool.h,['A7D3396CC75EC6D6'],A7D3396CC75EC6D6,
79,64043C09224ACB33,,-561385838,SocialGraphService,1559666962757487248,2019-06-04 11:49:22.757487,ClientPool.h,['7076C55CDECBF840'],7076C55CDECBF840,
80,F7026C2BC9670E93,,-561385838,SocialGraphService,1559666962757686896,2019-06-04 11:49:22.757687,SocialGraphHandler.h,['64043C09224ACB33'],64043C09224ACB33,
81,885F783A04AB9B13,unset,-561385838,SocialGraphService,1559666962757877229,2019-06-04 11:49:22.757877,SocialGraphHandler.h,['F7026C2BC9670E93'],F7026C2BC9670E93,
82,D9F3F58FAF7CA89C,fork,1911989946,SocialGraphService,1559666962758260460,2019-06-04 11:49:22.758260,SocialGraphHandler.h,"['885F783A04AB9B13', '8EB8DAD8BB095B11']",885F783A04AB9B13,8EB8DAD8BB095B11
83,6896F6C747DA661F,fork,1911989946,SocialGraphService,1559666962758538917,2019-06-04 11:49:22.758539,SocialGraphHandler.h,"['0501FF4607ABE241', 'D9F3F58FAF7CA89C']",0501FF4607ABE241,D9F3F58FAF7CA89C
84,6CA12A1D5A136315,fork,1911989946,SocialGraphService,1559666962758808715,2019-06-04 11:49:22.758809,SocialGraphHandler.h,"['6896F6C747DA661F', 'FB0728D580CB6AF9']",6896F6C747DA661F,FB0728D580CB6AF9
85,41DCBD50B8AE2F6A,,1911989946,SocialGraphService,1559666962759064441,2019-06-04 11:49:22.759064,SocialGraphHandler.h,['6CA12A1D5A136315'],6CA12A1D5A136315,
86,1F95773644323185,unset,1911989946,SocialGraphService,1559666962759319208,2019-06-04 11:49:22.759319,SocialGraphHandler.h,['41DCBD50B8AE2F6A'],41DCBD50B8AE2F6A,
87,54CA0531657C21DE,fork,1911989946,SocialGraphService,1559666962759581971,2019-06-04 11:49:22.759582,SocialGraphHandler.h,['41DCBD50B8AE2F6A'],41DCBD50B8AE2F6A,
88,990D6D9434636CE8,,1911989946,SocialGraphService,1559666962759822054,2019-06-04 11:49:22.759822,SocialGraphHandler.h,['54CA0531657C21DE'],54CA0531657C21DE,
89,631FA9D88DAB8E1F,unset,1911989946,SocialGraphService,1559666962760067060,2019-06-04 11:49:22.760067,SocialGraphHandler.h,['990D6D9434636CE8'],990D6D9434636CE8,
90,A3D11475058B4118,fork,1571411085,Reference,1559666962760683633,2019-06-04 11:49:22.760684,lua_baggage.cpp,"['7C7898F2198A278B', '990D6D9434636CE8']",7C7898F2198A278B,990D6D9434636CE8
