,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
73,11334F3A945E2C9C,,-861948917,SocialGraphService,1559749321178577787,2019-06-05 10:42:01.178578,SocialGraphHandler.h,['38EAB001B674A5FD'],38EAB001B674A5FD,
74,B8CB63CE556F15EE,,-861948917,SocialGraphService,1559749321179425717,2019-06-05 10:42:01.179426,ClientPool.h,['11334F3A945E2C9C'],11334F3A945E2C9C,
75,CF1E660A01E46C13,,-861948917,SocialGraphService,1559749321179649123,2019-06-05 10:42:01.179649,ClientPool.h,['B8CB63CE556F15EE'],B8CB63CE556F15EE,
76,4685507912B5769A,,-861948917,SocialGraphService,1559749321179932114,2019-06-05 10:42:01.179932,ClientPool.h,['CF1E660A01E46C13'],CF1E660A01E46C13,
77,5E58EE1FB2727604,,-861948917,SocialGraphService,1559749321180130030,2019-06-05 10:42:01.180130,ClientPool.h,['4685507912B5769A'],4685507912B5769A,
78,97390602A838D5D8,,-861948917,SocialGraphService,1559749321180336498,2019-06-05 10:42:01.180336,ClientPool.h,['5E58EE1FB2727604'],5E58EE1FB2727604,
79,077B47367E3D827D,,-861948917,SocialGraphService,1559749321180546830,2019-06-05 10:42:01.180547,SocialGraphHandler.h,['97390602A838D5D8'],97390602A838D5D8,
80,F4CB02F07517280A,unset,-861948917,SocialGraphService,1559749321180958128,2019-06-05 10:42:01.180958,SocialGraphHandler.h,['077B47367E3D827D'],077B47367E3D827D,
81,1622C4B321E49B1F,fork,-930973644,SocialGraphService,1559749321181498841,2019-06-05 10:42:01.181499,SocialGraphHandler.h,"['41F9EAC105726FFA', 'F4CB02F07517280A']",41F9EAC105726FFA,F4CB02F07517280A
82,0CE93BFF3B9494AC,fork,-930973644,SocialGraphService,1559749321181830838,2019-06-05 10:42:01.181831,SocialGraphHandler.h,"['1622C4B321E49B1F', '58D2B5D6240F7A85']",1622C4B321E49B1F,58D2B5D6240F7A85
83,3A6C4846FBFF8E64,fork,-930973644,SocialGraphService,1559749321182160736,2019-06-05 10:42:01.182161,SocialGraphHandler.h,"['0CE93BFF3B9494AC', '537687A5A6FCDA7B']",0CE93BFF3B9494AC,537687A5A6FCDA7B
84,9F3C3A63089215A2,,-930973644,SocialGraphService,1559749321182458602,2019-06-05 10:42:01.182459,SocialGraphHandler.h,['3A6C4846FBFF8E64'],3A6C4846FBFF8E64,
85,4A91ECB68ADC682E,unset,-930973644,SocialGraphService,1559749321182710560,2019-06-05 10:42:01.182711,SocialGraphHandler.h,['9F3C3A63089215A2'],9F3C3A63089215A2,
86,FC9FF1F612AC40B9,fork,-930973644,SocialGraphService,1559749321183064124,2019-06-05 10:42:01.183064,SocialGraphHandler.h,['9F3C3A63089215A2'],9F3C3A63089215A2,
87,B7C6C155EC510B0A,,-930973644,SocialGraphService,1559749321183356441,2019-06-05 10:42:01.183357,SocialGraphHandler.h,['FC9FF1F612AC40B9'],FC9FF1F612AC40B9,
88,BD4DDD08ED388765,unset,-930973644,SocialGraphService,1559749321183590813,2019-06-05 10:42:01.183591,SocialGraphHandler.h,['B7C6C155EC510B0A'],B7C6C155EC510B0A,
89,D1C72D104478F996,fork,-1476124745,Reference,1559749321184084031,2019-06-05 10:42:01.184084,lua_baggage.cpp,"['B7C6C155EC510B0A', 'E03F36A4E794E2EC']",B7C6C155EC510B0A,E03F36A4E794E2EC
90,576D92CF3E45B1E6,unset,-1476124745,Reference,1559749321184438762,2019-06-05 10:42:01.184439,lua_baggage.cpp,['D1C72D104478F996'],D1C72D104478F996,
